Scatter(%),Scatter_rate_sim,SS_total,LS_total,Transparent_sim,Scatter_rate_hand,Transparent_hand
75,0.75,0.011807738,0.000576759,0.048845873,0,0
76,0.76,0.012645039,0.000641776,0.050753183,1.00E-05,1.00E-05
77,0.77,0.013653239,0.000747862,0.054775424,2.00E-05,2.00E-05
78,0.78,0.014758843,0.000862341,0.058428746,3.00E-05,3.00E-05
79,0.79,0.015962351,0.001001083,0.062715244,4.00E-05,4.00E-05
80,0.8,0.017319093,0.00115446,0.06665824,5.00E-05,5.00E-05
81,0.81,0.018825672,0.001349159,0.071665926,6.00E-05,6.00E-05
82,0.82,0.020567442,0.001603973,0.077986021,7.00E-05,7.00E-05
83,0.83,0.022451482,0.00187011,0.083295626,8.00E-05,7.99E-05
84,0.84,0.02467458,0.002238727,0.090730109,9.00E-05,8.99E-05
85,0.85,0.027186019,0.002676187,0.098439841,0.0001,9.99E-05
86,0.86,0.030084685,0.003216342,0.106909611,0.00011,0.00010989
87,0.87,0.033498336,0.003932101,0.117381974,0.00012,0.00011987
88,0.88,0.03751858,0.00482795,0.128681583,0.00013,0.000129849
89,0.89,0.042253952,0.005985884,0.141664464,0.00014,0.000139826
90,0.9,0.047994743,0.007535625,0.157009387,0.00015,0.000149802
91,0.91,0.055053136,0.009674305,0.175726679,0.00016,0.000159776
92,0.92,0.063891289,0.012633291,0.197731031,0.00017,0.000169749
93,0.93,0.075109548,0.016809973,0.223806073,0.00018,0.000179721
94,0.94,0.089867035,0.023111002,0.25716885,0.00019,0.000189691
95,0.95,0.1099344,0.032867285,0.298971798,0.0002,0.00019966
96,0.96,0.138701741,0.04900168,0.353288141,0.00021,0.000209627
97,0.97,0.182758594,0.078196949,0.427870161,0.00022,0.000219593
98,0.98,0.257720574,0.137709398,0.534336069,0.00023,0.000229557
99,0.99,0.41128836,0.287923383,0.700052351,0.00024,0.00023952
100,1,0.889292219,0.893297069,1.004503412,0.00025,0.000249482
,,,,,0.00026,0.000259442
,,,,,0.00027,0.000269401
,,,,,0.00028,0.000279359
,,,,,0.00029,0.000289316
,,,,,0.0003,0.000299271
,,,,,0.00031,0.000309224
,,,,,0.00032,0.000319177
,,,,,0.00033,0.000329128
,,,,,0.00034,0.000339078
,,,,,0.00035,0.000349026
,,,,,0.00036,0.000358973
,,,,,0.00037,0.000368919
,,,,,0.00038,0.000378864
,,,,,0.00039,0.000388807
,,,,,0.0004,0.00039875
,,,,,0.00041,0.000408691
,,,,,0.00042,0.00041863
,,,,,0.00043,0.000428568
,,,,,0.00044,0.000438506
,,,,,0.00045,0.000448442
,,,,,0.00046,0.000458376
,,,,,0.00047,0.00046831
,,,,,0.00048,0.000478242
,,,,,0.00049,0.000488173
,,,,,0.0005,0.000498102
,,,,,0.00051,0.000508031
,,,,,0.00052,0.000517958
,,,,,0.00053,0.000527884
,,,,,0.00054,0.000537809
,,,,,0.00055,0.000547733
,,,,,0.00056,0.000557656
,,,,,0.00057,0.000567577
,,,,,0.00058,0.000577497
,,,,,0.00059,0.000587416
,,,,,0.0006,0.000597334
,,,,,0.00061,0.00060725
,,,,,0.00062,0.000617166
,,,,,0.00063,0.00062708
,,,,,0.00064,0.000636993
,,,,,0.00065,0.000646905
,,,,,0.00066,0.000656816
,,,,,0.00067,0.000666725
,,,,,0.00068,0.000676634
,,,,,0.00069,0.000686541
,,,,,0.0007,0.000696447
,,,,,0.00071,0.000706352
,,,,,0.00072,0.000716256
,,,,,0.00073,0.000726159
,,,,,0.00074,0.00073606
,,,,,0.00075,0.000745961
,,,,,0.00076,0.00075586
,,,,,0.00077,0.000765758
,,,,,0.00078,0.000775655
,,,,,0.00079,0.000785551
,,,,,0.0008,0.000795446
,,,,,0.00081,0.000805339
,,,,,0.00082,0.000815232
,,,,,0.00083,0.000825123
,,,,,0.00084,0.000835014
,,,,,0.00085,0.000844903
,,,,,0.00086,0.000854791
,,,,,0.00087,0.000864678
,,,,,0.00088,0.000874564
,,,,,0.00089,0.000884449
,,,,,0.0009,0.000894332
,,,,,0.00091,0.000904215
,,,,,0.00092,0.000914096
,,,,,0.00093,0.000923977
,,,,,0.00094,0.000933856
