thermalcut,wavelength[nm],Thermal_cut_L,Thermal_cut_M,Thermal_cut_S,NDfilter,wavelength[nm],absOD1,absOD2,refOD1
,449.99389,1,0.006937987,0.840208104,,449.99389,0.886239575,0.848396094,0.106472431
,460.0007,1,0.005466215,0.849461925,,460.0007,0.890939364,0.8621537,0.105453361
,469.98874,1,0.004522113,0.853417691,,469.98874,0.893081453,0.866151355,0.103687155
,480.01202,1,0.003827554,0.859381087,,480.01202,0.896518922,0.872705698,0.102029856
,489.98834,1,0.003339382,0.862948353,,489.98834,0.897853519,0.875881645,0.100477364
,499.99877,1,0.002790871,0.862755577,,499.99877,0.898715504,0.877242825,0.098988118
,509.98845,1,0.002460429,0.861738495,,509.98845,0.898133415,0.876314695,0.097440756
,520.01095,1,0.001912082,0.858574159,,520.01095,0.896399254,0.872025374,0.095981994
,530.01165,1,0.001607162,0.854882737,,530.01165,0.896435851,0.870865178,0.094540267
,539.99013,1,0.001465596,0.857046459,,539.99013,0.896672007,0.872848262,0.093136193
,549.99958,1,0.001407037,0.861704442,,549.99958,0.899508318,0.877565267,0.09190927
,560.01245,1,0.001267957,0.861720954,,560.01245,0.898778765,0.877278275,0.090640544
,570.00147,1,0.001264692,0.859842803,,570.00147,0.897110112,0.875165326,0.089321789
,579.99281,1,0.001198633,0.854951695,,579.99281,0.894878074,0.870454739,0.088203178
,590.01239,1,0.001211672,0.845501126,,590.01239,0.890560525,0.862628461,0.086982953
,600.00643,1,0.00121289,0.83495954,,600.00643,0.885203314,0.851800685,0.085879446
,610.00089,1,0.001229667,0.821849168,,610.00089,0.87823876,0.838095059,0.084812297
,619.99514,1,0.00131367,0.803745566,,619.99514,0.86977295,0.820832041,0.083802142
,629.98853,1,0.001298268,0.784173423,,629.98853,0.860086972,0.801431186,0.082789716
,640.00658,1,0.001305031,0.760312756,,640.00658,0.849204449,0.778731266,0.081870318
,649.99618,1,0.001384333,0.735828775,,649.99618,0.836567843,0.753680354,0.08094329
,660.00896,1,0.00143776,0.709636186,,660.00896,0.822442415,0.726383483,0.080104616
,669.9921,1,0.00230653,0.68041453,,669.9921,0.806798051,0.696434249,0.079329215
,679.9969,1,0.011674776,0.648209137,,679.9969,0.789909276,0.664952121,0.078532685
,689.99663,1,0.04932387,0.613554831,,689.99663,0.770296909,0.629404598,0.077907897
,699.99061,1,0.132411125,0.575349418,,699.99061,0.749667943,0.592220505,0.077182303
,710.00375,1,0.252818495,0.536812041,,710.00375,0.727870642,0.554008866,0.076671079
,720.00954,1,0.388473558,0.498798037,,720.00954,0.704111715,0.514979173,0.076075305
,730.00726,1,0.513913514,0.460481975,,730.00726,0.680956245,0.476446862,0.075601848
,739.99619,1,0.615724273,0.42243426,,739.99619,0.656691302,0.43825417,0.075208707
,750.00086,1,0.694111861,0.384761712,,750.00086,0.630996182,0.399370391,0.074852771
,759.99509,1,0.746275021,0.347416933,,759.99509,0.604844724,0.361614394,0.074518512
,770.0032,1,0.781350796,0.311450254,,770.0032,0.577451746,0.324605138,0.074257975
,779.99917,1,0.806107131,0.277135387,,779.99917,0.549948328,0.289433938,0.074037296
,790.00714,1,0.82001349,0.245137884,,790.00714,0.522017919,0.256966443,0.073917676
,800.00121,1,0.829201972,0.211485292,,800.00121,0.493878424,0.225229197,0.073596208
,810.00534,1,0.835177408,0.188156688,,810.00534,0.467533943,0.198150758,0.073496637
,819.9938,1,0.839691733,0.163694591,,819.9938,0.441032588,0.172754948,0.073493805
,829.99032,1,0.841792042,0.141533763,,829.99032,0.415252366,0.149953463,0.073389696
,839.99376,1,0.845861057,0.121416835,,839.99376,0.389709026,0.129244218,0.073317637
,850.00301,1,0.846207925,0.103648252,,850.00301,0.365040712,0.111031103,0.073252724
,859.99271,1,0.846579507,0.088141701,,859.99271,0.341857156,0.095174177,0.073228303
,870.01019,1,0.846410268,0.074647874,,870.01019,0.319415516,0.081327307,0.07313568
,880.006,1,0.844975656,0.063213213,,880.006,0.298555416,0.069489821,0.073096133
,890.00315,1,0.840845843,0.053326498,,890.00315,0.27872134,0.059232378,0.07306035
,900.00042,1,0.835343521,0.044905126,,899.98777,0.260335882,0.050722226,0.072979381
,909.99922,1,0.835372498,0.038180148,,909.99922,0.243003957,0.043264064,0.072876739
,920.00139,1,0.837300062,0.032241324,,920.00139,0.226914613,0.037000893,0.072875202
,929.99418,1,0.838700051,0.027291634,,929.99418,0.21193734,0.031706169,0.072781492
,939.97747,1,0.844072478,0.023140987,,939.97747,0.19826269,0.027224338,0.072614265
,950.00565,1,0.847279594,0.019591292,,950.00565,0.185424391,0.023381875,0.072587684
,960.02404,1,0.844756357,0.01669953,,960.02404,0.1735495,0.020162401,0.072480108
,969.97815,1,0.844540605,0.014318692,,969.97815,0.163155659,0.01752137,0.072393982
,979.97669,1,0.84392828,0.012363505,,979.97669,0.15361065,0.015293395,0.07227564
,990.01937,1,0.843940135,0.010698009,,990.01937,0.144803159,0.013397293,0.072171886
,999.99753,1,0.842369879,0.009315672,,999.99753,0.136823345,0.011793429,0.072061418
,1010.0195,1,0.840922851,0.008184225,,1010.0195,0.129448952,0.010436606,0.071968136
,1019.9769,1,0.838666065,0.007238583,,1019.9769,0.123091089,0.009309699,0.071787424
,1029.9778,1,0.838102441,0.006451945,,1029.9778,0.117274453,0.008353971,0.07168033
,1040.0219,1,0.838606118,0.005815022,,1040.0219,0.112056102,0.007540833,0.071536084
,1050.0012,1,0.841311814,0.005257402,,1050.0012,0.10737705,0.00686037,0.071400829
,1060.0233,1,0.842845556,0.004806066,,1060.0233,0.103088236,0.006257776,0.071312704
,1069.9805,1,0.844885504,0.004418361,,1069.9805,0.099363666,0.005758667,0.071138284
,1079.9803,1,0.847036472,0.004098184,,1079.9803,0.095967743,0.005326653,0.071007157
,1090.0223,1,0.846915558,0.003819191,,1090.0223,0.093041867,0.004959607,0.070782255
,1099.9992,1,0.846399785,0.003610926,,1099.9992,0.090507987,0.00462266,0.070783137
,1110.0179,1,0.841914039,0.003406547,,1110.0179,0.088046523,0.004352729,0.070651438
,1120.0249,1,0.835873418,0.003249321,,1120.0249,0.086172179,0.004130938,0.070462027
,1130.0199,1,0.819967526,0.003118524,,1130.0199,0.08438602,0.003934742,0.070250955
,1140.0029,1,0.796765643,0.003009164,,1140.0029,0.082832381,0.003766973,0.070140193
,1149.9738,1,0.76296255,0.002939499,,1149.9738,0.081518829,0.003624599,0.069957956
,1159.9856,1,0.726429031,0.002857393,,1159.9856,0.08039101,0.003507702,0.069807581
,1169.985,1,0.688072635,0.002808067,,1169.985,0.079404107,0.00340402,0.069608639
,1180.0248,1,0.659396293,0.002758379,,1180.0248,0.078633321,0.003317621,0.069454946
,1189.9988,1,0.660452005,0.00274809,,1189.9988,0.077990618,0.003260165,0.069287505
,1200.0129,1,0.675044899,0.00273723,,1200.0129,0.077562799,0.003220333,0.069055324
,1210.0139,1,0.696753759,0.002745719,,1210.0139,0.077116318,0.003194448,0.068873669
,1220.0018,1,0.727755633,0.002766549,,1220.0018,0.076877198,0.00317087,0.068695716
,1229.9764,1,0.763235378,0.002784168,,1229.9764,0.076747855,0.003171623,0.068506613
,1239.9903,1,0.790252076,0.002815672,,1239.9903,0.076682295,0.003172679,0.068289619
,1249.9905,1,0.807382087,0.002847677,,1249.9905,0.076815243,0.003183362,0.068063022
,1259.9771,1,0.817848825,0.002885526,,1259.9771,0.07701374,0.00319632,0.067850925
,1270.0022,1,0.824249513,0.002929334,,1270.0022,0.077294043,0.003222655,0.067661787
,1280.0132,1,0.827823367,0.002997957,,1280.0132,0.077770532,0.003267322,0.067479204
,1290.0099,1,0.830370944,0.003061689,,1290.0099,0.078054345,0.003303886,0.067239036
,1299.9924,1,0.831857872,0.003138414,,1299.9924,0.078714194,0.003368929,0.067023855
,1310.0125,1,0.831579434,0.003236268,,1310.0125,0.079257331,0.003427465,0.066767303
,1320.0179,1,0.828845778,0.003305315,,1320.0179,0.079889216,0.003498892,0.066595364
,1330.0085,1,0.820510937,0.003422417,,1330.0085,0.08085639,0.003591302,0.066341773
,1339.9842,1,0.80161258,0.003532069,,1339.9842,0.081763659,0.003687562,0.066082232
,1349.9967,1,0.757116581,0.003644066,,1349.9967,0.082640681,0.003790832,0.06587394
,1359.9938,1,0.71485747,0.003786042,,1359.9938,0.083812094,0.003921197,0.065632351
,1369.9755,1,0.675305099,0.00392177,,1369.9755,0.084952142,0.004055525,0.065225389
,1379.9933,1,0.636719213,0.004082352,,1379.9933,0.086234425,0.004207075,0.064325366
,1389.9952,1,0.612949063,0.0042429,,1389.9952,0.08759002,0.004374687,0.064164549
,1399.9812,1,0.576801298,0.004362013,,1399.9812,0.088838864,0.004546167,0.064209371
,1410.0025,1,0.51578459,0.00447476,,1410.0025,0.090198841,0.004735942,0.064318813
,1420.0075,1,0.515852976,0.004669449,,1420.0075,0.091532798,0.00493599,0.06412877
,1429.996,1,0.553503294,0.004892223,,1429.996,0.093190767,0.005163866,0.063957683
,1440.0191,1,0.601157121,0.005129516,,1440.0191,0.095092608,0.00543662,0.063782296
,1450.0253,1,0.639302326,0.005388605,,1450.0253,0.09713023,0.005702919,0.063549821
,1460.0145,1,0.656895325,0.005676537,,1460.0145,0.098915554,0.005893628,0.063283987
,1469.9867,1,0.679719798,0.005986472,,1469.9867,0.101228158,0.006222186,0.063029634
,1479.9924,1,0.71515503,0.006344736,,1479.9924,0.103616777,0.006579353,0.062812524
,1489.9806,1,0.736598705,0.006721411,,1489.9806,0.106262895,0.006972605,0.062582309
,1500.0017,1,0.752860896,0.007124889,,1500.0017,0.1087943,0.007390975,0.062331558
,1510.005,1,0.764778562,0.007555011,,1510.005,0.111534413,0.007843653,0.062140238
,1519.9902,1,0.773020531,0.008026981,,1519.9902,0.114391913,0.008334144,0.061923272
,1530.0075,1,0.775777282,0.008525111,,1530.0075,0.117365947,0.008867169,0.061680246
,1540.0064,1,0.776761077,0.009054938,,1540.0064,0.120446566,0.009417321,0.061507671
,1549.9867,1,0.777390249,0.009612033,,1549.9867,0.123614169,0.010031947,0.06126158
,1559.9983,1,0.781125467,0.0102031,,1559.9983,0.126681781,0.010648744,0.061032776
,1569.991,1,0.784016188,0.010829778,,1569.991,0.13007971,0.011329971,0.060830734
,1580.0143,1,0.785660701,0.011500462,,1580.0143,0.133540636,0.012056681,0.060597201
