wavelength[nm],transmittance
519.201,-0.001548285
519.574,-0.001548285
519.947,-0.001548285
520.319,0.001144846
520.692,-0.000181825
521.064,0.000779336
521.436,0.002895821
521.809,-0.000619364
522.181,-0.028986109
522.553,0.001135969
522.925,-0.001599015
523.297,0.000505052
523.67,0.005766197
524.042,-0.001806762
524.413,0.004033609
524.785,0.000521496
525.157,-0.00491386
525.529,-0.001134009
525.901,-0.002418236
526.273,0.003393688
526.644,-0.001302525
527.016,-0.000736818
527.387,-0.00402846
527.759,0.002694891
528.13,0.002574025
528.502,0.002642139
528.873,0.002646178
529.244,0.002625892
529.615,0.002735701
529.987,0.002576032
530.358,0.00266114
530.729,0.002589013
531.1,0.002634631
531.471,0.002646625
531.842,0.002572995
532.212,0.002640574
532.583,0.002582366
532.954,0.002578133
533.325,0.002694304
533.695,0.002590279
534.066,0.002631294
534.437,0.002585679
534.807,0.00266412
535.177,0.002610811
535.548,0.002603936
535.918,0.002595984
536.288,0.002659214
536.659,0.002590856
537.029,0.002627399
537.399,0.002638309
537.769,0.002621877
538.139,0.002607099
538.509,0.002628326
538.879,0.002590369
539.249,0.002595637
539.619,0.002633916
539.988,0.002603211
540.358,0.002624282
540.728,0.002620334
541.097,0.002656418
541.467,0.002581135
541.836,0.002607114
542.206,0.002566931
542.575,0.002636429
542.944,0.002605996
543.314,0.002613104
543.683,0.002620521
544.052,0.002528974
544.421,0.002579594
544.79,0.002643616
545.159,0.00254326
545.528,0.002702719
545.897,0.002587733
546.266,0.002576676
546.635,0.002590541
547.004,0.00260261
547.372,0.002540032
547.741,0.002608889
548.11,0.002603014
548.478,0.002574707
548.847,0.002569932
549.215,0.002570094
549.583,0.002563345
549.952,0.00257432
550.32,0.002658331
550.688,0.002515567
551.056,0.002632393
551.425,0.002505351
551.793,0.002620954
552.161,0.002564104
552.529,0.002557583
552.897,0.002593647
553.264,0.00255493
553.632,0.002583948
554,0.002500159
554.368,0.00261081
554.735,0.002546615
555.103,0.002597985
555.47,0.002574361
555.838,0.002597831
556.205,0.002586222
556.573,0.002599233
556.94,0.002571797
557.307,0.002577555
557.675,0.002642844
558.042,0.002568957
558.409,0.002632522
558.776,0.002606495
559.143,0.002516735
559.51,0.002527954
559.877,0.002579029
560.244,0.00256021
560.611,0.002575517
560.977,0.002607566
561.344,0.002514528
561.711,0.002540343
562.077,0.002563354
562.444,0.002569831
562.81,0.002524927
563.177,0.002604964
563.543,0.002547544
563.909,0.002571347
564.276,0.002655433
564.642,0.00255323
565.008,0.002526973
565.374,0.002624884
565.74,0.002577778
566.106,0.002599795
566.472,0.002541155
566.838,0.002593963
567.204,0.002530477
567.57,0.00255889
567.936,0.002531543
568.301,0.002596532
568.667,0.002586792
569.033,0.002592437
569.398,0.002637292
569.764,0.002557398
570.129,0.002500156
570.495,0.002560148
570.86,0.002577958
571.225,0.002550934
571.59,0.002572932
571.956,0.00254997
572.321,0.002563272
572.686,0.002565693
573.051,0.00257575
573.416,0.002555663
573.781,0.002616599
574.146,0.002523849
574.51,0.002527928
574.875,0.00253904
575.24,0.002595855
575.604,0.00255418
575.969,0.002603556
576.334,0.002528053
576.698,0.002524648
577.063,0.002570558
577.427,0.002581455
577.791,0.002577988
578.156,0.002588362
578.52,0.002554147
578.884,0.002589112
579.248,0.002559406
579.612,0.002586909
579.976,0.002605491
580.34,0.002564586
580.704,0.002578387
581.068,0.002563118
581.432,0.002640621
581.796,0.002598043
582.159,0.002634717
582.523,0.002605598
582.886,0.002579804
583.25,0.002549349
583.614,0.002544765
583.977,0.002606906
584.34,0.002615371
584.704,0.00255413
585.067,0.002592503
585.43,0.002520021
585.793,0.002584081
586.157,0.002540667
586.52,0.002565768
586.883,0.002580366
587.246,0.002584196
587.609,0.002548612
587.971,0.002538599
588.334,0.002539038
588.697,0.002528814
589.06,0.002597199
589.422,0.002499544
589.785,0.002579746
590.148,0.002516776
590.51,0.00254023
590.872,0.002549671
591.235,0.00256378
591.597,0.002517748
591.959,0.002566992
592.322,0.002534559
592.684,0.002556306
593.046,0.002459193
593.408,0.002578362
593.77,0.002576918
594.132,0.002577178
594.494,0.002563617
594.856,0.002551848
595.218,0.002592494
595.579,0.00256849
595.941,0.002508314
596.303,0.002602099
596.664,0.002577255
597.026,0.00257077
597.388,0.002529689
597.749,0.002558104
598.11,0.00251671
598.472,0.002517079
598.833,0.002531384
599.194,0.002533682
